customer_id,registration_date,age,gender,city,loyalty_member,total_spend,purchase_count,avg_basket_value,days_since_last_purchase,product_categories_bought,online_ratio,satisfaction_score,customer_service_contacts,newsletter_subscriber,monthly_income_bracket,district_type,store_distance_km,referral_source,account_age_days,is_lapsed
MP00001,21-kwi-2022,37,K,Gdynia,Nie,"PLN 1,496.76",4,316.85,52,2,0.254,2.7,5,Tak,E,urban,3.3,online_ad,1000,0
MP00002,30-kwi-2024,37,K,Wrocław,Nie,PLN 810.28,4,212.83,23,2,0.166,3.6,3,Nie,E,rural,30.6,walk_in,260,0
MP00003,23-gru-2023,51,M,Warszawa,Tak,PLN 671.08,5,130.94,80,2,0.158,2.8,3,Tak,C,rural,42.1,social_media,389,0
MP00004,04-maj-2023,52,M,Szczecin,Nie,PLN 183.92,2,92.58,346,1,0.0,2.8,4,Tak,C,suburban,10.8,,622,1
MP00005,28-kwi-2023,36,M,Warszawa,Tak,"PLN 4,012.84",10,372.03,36,4,0.403,2.3,4,Nie dotyczy,D,urban,3.7,friend,628,0
MP00006,31-lip-2024,37,K,Lublin,Tak,PLN 310.30,2,149.77,151,1,0.33,2.6,6,Nie,C,urban,4.8,online_ad,168,1
MP00007,17-kwi-2022,48,K,Poznań,Nie,"PLN 1,164.21",5,228.82,94,1,0.061,3.6,4,Tak,E,rural,34.3,friend,1004,0
MP00008,07-lut-2024,32,M,Poznań,Nie,PLN 259.94,2,147.61,540,1,0.202,1.7,4,Nie dotyczy,A,rural,55.9,online_ad,343,1
MP00009,20-sie-2022,37,M,Gdańsk,Nie,PLN 332.96,4,86.37,152,1,0.154,2.0,6,Tak,C,suburban,26.2,online_ad,879,0
MP00010,26-kwi-2022,43,K,Poznań,Nie,"PLN 7,075.06",17,451.45,14,3,0.502,4.5,2,Nie dotyczy,C,rural,35.1,social_media,995,0
MP00011,07-sie-2023,54,M,Łódź,Nie,"PLN 2,137.78",5,443.42,26,2,0.164,3.2,3,Nie,B,suburban,16.2,walk_in,527,0
MP00012,04-gru-2024,35,K,Kraków,Nie,PLN 35.00,1,35.0,540,1,0.015,1.9,5,Tak,,rural,62.8,friend,42,0
MP00013,20-mar-2024,20,K,Wrocław,Nie,PLN 70.00,2,35.0,96,1,0.272,1.9,4,Tak,A,urban,5.3,online_ad,301,1
MP00014,16-kwi-2024,19,M,Katowice,Nie,PLN 239.32,2,123.73,153,1,0.24,2.5,6,Nie dotyczy,,urban,9.9,walk_in,274,0
MP00015,29-lut-2024,27,M,Warszawa,Nie,PLN 206.33,2,106.52,249,2,0.213,2.9,3,Tak,,suburban,24.1,walk_in,321,1
MP00016,13-maj-2024,26,M,Łódź,Nie,"PLN 2,140.03",6,365.27,3,3,0.371,3.3,2,Nie dotyczy,C,urban,3.0,social_media,247,0
MP00017,23-lip-2023,40,M,Kraków,Nie,PLN 874.47,4,236.15,91,2,0.31,2.6,3,Nie,D,urban,2.7,friend,542,0
MP00018,02-cze-2022,28,K,Wrocław,Nie,"PLN 1,700.08",6,282.51,2,5,0.524,4.3,3,Tak,E,suburban,9.0,social_media,958,0
MP00019,10-lip-2024,34,K,Warszawa,Tak,PLN 152.06,1,163.88,88,1,0.187,1.9,5,Nie,E,urban,8.2,social_media,189,0
MP00020,16-maj-2023,33,M,Lublin,Nie,PLN 322.85,5,67.82,255,1,0.154,2.2,6,Nie,A,suburban,12.7,friend,610,1
MP00021,09-lip-2023,37,M,Warszawa,Nie,"PLN 5,553.26",15,371.71,14,6,0.489,4.7,4,Tak,,urban,6.9,,556,0
MP00022,19-lut-2023,58,M,Szczecin,Nie,PLN 373.95,4,117.82,163,1,,2.4,4,Nie,C,rural,42.0,walk_in,696,1
MP00023,31-lip-2022,50,M,Kraków,Nie,PLN 326.29,2,136.03,185,1,0.173,2.6,4,Tak,C,urban,8.3,social_media,899,0
MP00024,12-paź-2024,42,K,Wrocław,Tak,PLN 657.41,2,315.46,31,1,0.365,3.8,3,Tak,D,suburban,23.8,friend,95,0
MP00025,08-maj-2024,36,K,Kraków,Nie,"PLN 1,979.01",4,482.41,13,4,0.253,4.8,2,Nie,,suburban,6.6,friend,252,0
MP00026,12-gru-2023,37,K,Bydgoszcz,Tak,"PLN 1,620.02",5,338.12,55,2,0.243,3.0,4,Nie,D,urban,3.7,social_media,400,0
MP00027,26-mar-2023,46,M,Gdynia,Nie,"PLN 1,722.74",7,244.27,101,1,0.161,3.0,3,Nie,C,urban,5.4,friend,661,0
MP00028,22-cze-2024,49,K,Kraków,Nie,PLN 35.00,1,35.0,513,1,0.0,2.0,6,Nie,,urban,8.1,online_ad,207,0
MP00029,27-sie-2023,31,M,Gdynia,Nie,PLN 466.66,5,89.81,83,1,0.114,,3,Nie,A,urban,7.3,online_ad,507,0
MP00030,09-maj-2023,42,K,Łódź,Tak,"PLN 5,616.54",11,590.08,8,5,0.384,5.0,2,Tak,E,urban,5.7,walk_in,617,0
MP00031,16-maj-2023,18,K,Poznań,Nie,PLN 35.00,1,35.0,445,1,0.235,1.5,5,Nie dotyczy,,urban,8.2,online_ad,610,0
MP00032,17-wrz-2022,45,K,Bydgoszcz,Nie,PLN 175.00,5,35.0,196,1,0.0,,5,Nie,A,suburban,15.9,social_media,851,1
MP00033,24-kwi-2022,51,M,Kraków,Nie,"PLN 1,103.33",6,164.07,89,1,0.168,2.4,3,Nie dotyczy,C,urban,1.0,friend,997,0
