transaction_id,customer_id,transaction_date,store_id,product_category,amount,items_count,payment_method
T000001,MP00001,25-kwi-2022,S12,Garden,192.97,1,online
T000002,MP00001,05-cze-2022,S09,Garden,95.63,1,cash
T000003,MP00001,05-gru-2022,S12,Paint,784.41,6,card
T000004,MP00001,24-lis-2024,S12,Paint,423.75,7,card
T000005,MP00002,27-cze-2024,S04,Lighting,424.55,4,card
T000006,MP00002,25-sie-2024,S04,Electrical,117.43,1,card
T000007,MP00002,03-lis-2024,S04,Electrical,120.44,3,card
T000008,MP00002,23-gru-2024,S04,Electrical,147.86,1,online
T000009,MP00003,30-mar-2024,S01,Paint,27.63,1,cash
T000010,MP00003,28-maj-2024,S01,Building Materials,98.19,1,card
T000011,MP00003,11-lip-2024,S01,Paint,333.53,2,mobile
T000012,MP00003,04-paź-2024,S01,Building Materials,101.56,1,mobile
T000013,MP00003,27-paź-2024,S01,Building Materials,110.17,1,online
T000014,MP00004,11-sie-2023,S07,Tools,137.34,2,cash
T000015,MP00004,04-lut-2024,S07,Tools,46.58,1,card
T000016,MP00005,07-maj-2023,S01,Paint,497.08,8,online
T000017,MP00005,07-lip-2023,S01,Lighting,684.32,8,online
T000018,MP00005,20-sie-2023,S12,Lighting,563.2,3,mobile
T000019,MP00005,27-lis-2023,S01,Flooring,187.63,2,card
T000020,MP00005,28-lis-2023,S09,Flooring,451.06,6,card
T000021,MP00005,28-gru-2023,S01,Flooring,262.64,2,card
T000022,MP00005,03-lut-2024,S01,Lighting,120.05,3,card
T000023,MP00005,13-mar-2024,S01,Lighting,690.87,7,cash
T000024,MP00005,13-maj-2024,S10,Flooring,118.53,1,cash
T000025,MP00005,10-gru-2024,S01,Paint,437.46,2,online
T000026,MP00006,04-sie-2024,S09,Flooring,86.77,1,mobile
T000027,MP00006,17-sie-2024,S09,Flooring,223.53,2,card
T000028,MP00007,18-mar-2023,S05,Paint,320.69,3,online
T000029,MP00007,28-kwi-2023,S05,Paint,20.66,1,mobile
T000030,MP00007,03-lip-2023,S03,Paint,325.53,5,mobile
T000031,MP00007,02-lis-2023,S05,Paint,388.28,3,card
T000032,MP00007,13-paź-2024,S05,Paint,109.05,2,card
T000033,MP00008,07-lut-2024,S05,Plumbing,99.27,1,card
T000034,MP00008,08-lut-2024,S05,Plumbing,160.67,1,online
T000035,MP00009,18-sty-2023,S06,Building Materials,42.18,1,online
T000036,MP00009,16-lut-2023,S06,Building Materials,119.73,3,online
T000037,MP00009,25-lut-2024,S06,Building Materials,129.43,1,mobile
T000038,MP00009,16-sie-2024,S06,Building Materials,41.62,1,card
T000039,MP00010,30-wrz-2022,S05,Tools,441.41,3,card
T000040,MP00010,07-lis-2022,S05,Lighting,1087.04,20,mobile
T000041,MP00010,28-gru-2022,S05,Lighting,359.37,8,card
T000042,MP00010,06-sty-2023,S03,Lighting,540.86,15,online
T000043,MP00010,13-sty-2023,S05,Flooring,199.84,2,online
T000044,MP00010,28-mar-2023,S05,Lighting,1176.43,14,mobile
T000045,MP00010,16-maj-2023,S04,Tools,464.04,7,card
T000046,MP00010,02-wrz-2023,S07,Tools,78.23,1,cash
T000047,MP00010,31-sty-2024,S05,Tools,498.82,3,cash
T000048,MP00010,17-lut-2024,S05,Lighting,232.12,4,cash
T000049,MP00010,19-lut-2024,S05,Lighting,84.12,1,card
T000050,MP00010,23-kwi-2024,S05,Lighting,247.08,4,mobile
T000051,MP00010,27-cze-2024,S05,Flooring,78.24,1,card
T000052,MP00010,04-sie-2024,S05,Flooring,65.69,1,card
T000053,MP00010,22-wrz-2024,S05,Flooring,850.91,8,card
T000054,MP00010,09-paź-2024,S05,Tools,414.98,5,card
T000055,MP00010,01-sty-2025,S05,Tools,255.88,1,card
T000056,MP00011,26-sie-2023,S01,Plumbing,163.27,1,cash
T000057,MP00011,05-paź-2023,S03,Garden,831.75,16,card
T000058,MP00011,29-maj-2024,S11,Garden,347.27,4,online
T000059,MP00011,24-sie-2024,S10,Plumbing,588.13,9,cash
T000060,MP00011,20-gru-2024,S03,Plumbing,207.36,1,card
T000061,MP00012,05-gru-2024,S02,Electrical,35.0,1,cash
T000062,MP00013,25-cze-2024,S04,Building Materials,40.09,1,card
T000063,MP00013,11-paź-2024,S04,Building Materials,29.91,1,online
T000064,MP00014,28-kwi-2024,S11,Flooring,86.8,1,online
T000065,MP00014,15-sie-2024,S11,Flooring,152.52,2,card
T000066,MP00015,10-kwi-2024,S01,Tools,72.89,1,online
T000067,MP00015,11-maj-2024,S01,Tools,133.44,1,cash
T000068,MP00016,21-maj-2024,S03,Lighting,422.36,13,card
T000069,MP00016,27-sie-2024,S06,Lighting,909.79,11,card
T000070,MP00016,08-paź-2024,S03,Lighting,101.62,1,online
T000071,MP00016,16-gru-2024,S09,Lighting,61.78,1,mobile
T000072,MP00016,31-gru-2024,S03,Lighting,325.61,2,card
T000073,MP00016,12-sty-2025,S03,Paint,318.87,2,online
T000074,MP00017,01-lis-2023,S02,Building Materials,348.69,2,cash
T000075,MP00017,24-lut-2024,S02,Electrical,107.3,1,cash
T000076,MP00017,27-lut-2024,S02,Building Materials,97.82,1,mobile
T000077,MP00017,16-paź-2024,S02,Building Materials,320.66,2,mobile
T000078,MP00018,31-sie-2022,S04,Flooring,252.84,3,cash
T000079,MP00018,15-gru-2023,S04,Tools,313.63,2,card
T000080,MP00018,03-sty-2024,S04,Tools,389.43,6,cash
T000081,MP00018,20-sty-2024,S04,Tools,129.37,1,online
T000082,MP00018,22-maj-2024,S04,Building Materials,188.08,1,mobile
T000083,MP00018,13-sty-2025,S04,Tools,426.73,5,card
T000084,MP00019,19-paź-2024,S01,Plumbing,152.06,2,cash
T000085,MP00020,14-cze-2023,S09,Building Materials,34.54,1,cash
T000086,MP00020,23-lip-2023,S09,Building Materials,94.6,2,online
T000087,MP00020,15-sie-2023,S09,Building Materials,28.16,1,cash
T000088,MP00020,31-sie-2023,S09,Building Materials,118.89,1,card
T000089,MP00020,05-maj-2024,S09,Building Materials,46.66,1,card
T000090,MP00021,09-wrz-2023,S01,Paint,387.59,6,mobile
T000091,MP00021,15-wrz-2023,S01,Plumbing,127.47,3,cash
T000092,MP00021,16-paź-2023,S01,Paint,204.57,1,card
T000093,MP00021,02-lis-2023,S01,Plumbing,822.84,20,online
T000094,MP00021,09-gru-2023,S01,Electrical,721.91,8,card
T000095,MP00021,31-sty-2024,S06,Building Materials,727.92,20,cash
T000096,MP00021,02-kwi-2024,S02,Plumbing,56.63,1,mobile
T000097,MP00021,08-kwi-2024,S01,Paint,152.71,2,online
T000098,MP00021,23-kwi-2024,S01,Garden,696.76,5,online
T000099,MP00021,21-cze-2024,S03,Paint,152.46,1,mobile
T000100,MP00021,14-sie-2024,S01,Flooring,308.87,4,cash
T000101,MP00021,17-wrz-2024,S01,Flooring,295.86,3,online
T000102,MP00021,01-paź-2024,S01,Garden,153.55,2,card
T000103,MP00021,19-lis-2024,S03,Electrical,241.43,3,card
T000104,MP00021,01-sty-2025,S05,Building Materials,502.69,5,mobile
T000105,MP00022,12-mar-2024,S07,Electrical,83.4,1,card
T000106,MP00022,22-mar-2024,S07,Electrical,152.14,2,card
T000107,MP00022,28-kwi-2024,S07,Electrical,37.83,1,card
T000108,MP00022,05-sie-2024,S07,Electrical,100.58,1,card
T000109,MP00023,20-mar-2023,S02,Tools,211.87,4,online
T000110,MP00023,14-lip-2024,S12,Tools,114.42,3,card
T000111,MP00024,25-paź-2024,S08,Plumbing,339.01,2,card
T000112,MP00024,15-gru-2024,S01,Plumbing,318.4,3,online
T000113,MP00025,18-sie-2024,S02,Plumbing,247.9,2,mobile
T000114,MP00025,07-paź-2024,S02,Building Materials,1035.17,7,card
T000115,MP00025,30-paź-2024,S02,Flooring,113.55,1,card
T000116,MP00025,02-sty-2025,S02,Plumbing,582.39,6,online
T000117,MP00026,20-lut-2024,S08,Tools,103.06,3,card
T000118,MP00026,16-mar-2024,S08,Tools,315.35,2,card
T000119,MP00026,15-kwi-2024,S08,Lighting,549.04,15,mobile
T000120,MP00026,27-wrz-2024,S08,Lighting,487.69,9,card
T000121,MP00026,21-lis-2024,S08,Tools,164.88,4,mobile
T000122,MP00027,05-cze-2023,S04,Garden,536.49,4,mobile
T000123,MP00027,04-sie-2023,S01,Garden,56.86,1,cash
T000124,MP00027,13-sie-2023,S12,Garden,108.86,1,card
T000125,MP00027,23-wrz-2023,S12,Garden,204.44,3,cash
T000126,MP00027,12-gru-2023,S12,Garden,55.78,1,online
T000127,MP00027,03-maj-2024,S12,Garden,351.08,6,card
T000128,MP00027,06-paź-2024,S12,Garden,409.23,3,card
T000129,MP00028,23-cze-2024,S02,Flooring,35.0,1,card
T000130,MP00029,23-lis-2023,S12,Plumbing,76.66,1,online
T000131,MP00029,24-gru-2023,S12,Plumbing,71.27,1,online
T000132,MP00029,03-lut-2024,S12,Plumbing,61.66,1,card
T000133,MP00029,26-wrz-2024,S12,Plumbing,196.72,3,mobile
T000134,MP00029,24-paź-2024,S09,Plumbing,60.35,1,mobile
T000135,MP00030,23-lis-2023,S03,Building Materials,892.66,10,card
T000136,MP00030,11-gru-2023,S03,Plumbing,338.32,2,cash
T000137,MP00030,03-sty-2024,S06,Tools,249.21,3,mobile
T000138,MP00030,09-mar-2024,S03,Plumbing,443.06,3,card
T000139,MP00030,11-mar-2024,S03,Building Materials,449.04,5,card
T000140,MP00030,21-mar-2024,S03,Paint,484.54,4,card
T000141,MP00030,31-maj-2024,S03,Electrical,322.96,3,card
T000142,MP00030,16-wrz-2024,S09,Tools,559.96,4,mobile
T000143,MP00030,23-wrz-2024,S04,Building Materials,522.62,12,card
T000144,MP00030,28-gru-2024,S08,Plumbing,573.75,5,card
T000145,MP00030,07-sty-2025,S11,Tools,780.42,13,cash
T000146,MP00031,28-paź-2023,S05,Lighting,35.0,1,online
T000147,MP00032,04-gru-2022,S04,Plumbing,20.28,1,cash
T000148,MP00032,06-sty-2023,S08,Plumbing,23.42,1,online
T000149,MP00032,12-lip-2023,S08,Plumbing,116.41,1,card
T000150,MP00032,16-wrz-2023,S08,Plumbing,10.99,1,card
T000151,MP00032,03-lip-2024,S08,Plumbing,3.9,1,card
T000152,MP00033,20-cze-2022,S02,Building Materials,165.44,1,online
T000153,MP00033,14-paź-2022,S05,Building Materials,239.96,3,card
T000154,MP00033,14-paź-2022,S02,Building Materials,43.9,1,online
T000155,MP00033,20-paź-2022,S11,Building Materials,275.85,2,card
T000156,MP00033,22-maj-2023,S02,Building Materials,191.41,1,cash
T000157,MP00033,18-paź-2024,S02,Building Materials,186.77,1,card
T000158,MP00034,07-mar-2024,S04,Tools,109.57,1,online
T000159,MP00034,01-lis-2024,S04,Tools,129.79,2,online
T000160,MP00035,09-wrz-2024,S01,Electrical,198.71,3,online
T000161,MP00035,15-wrz-2024,S01,Electrical,510.02,3,card
T000162,MP00035,30-wrz-2024,S01,Electrical,153.42,5,mobile
T000163,MP00035,22-paź-2024,S01,Electrical,170.87,1,card
T000164,MP00035,27-gru-2024,S01,Electrical,31.41,1,mobile
T000165,MP00036,12-mar-2023,S06,Garden,209.79,3,card
T000166,MP00036,25-maj-2023,S08,Flooring,179.47,1,card
T000167,MP00036,10-kwi-2024,S08,Tools,245.41,1,card
T000168,MP00036,09-cze-2024,S08,Garden,572.7,5,card
T000169,MP00036,14-cze-2024,S08,Paint,486.48,3,cash
T000170,MP00036,29-lis-2024,S08,Paint,296.27,4,online
T000171,MP00037,15-wrz-2024,S04,Lighting,82.94,1,card
T000172,MP00037,31-paź-2024,S04,Tools,308.18,4,online
T000173,MP00037,03-lis-2024,S04,Flooring,213.87,1,mobile
T000174,MP00037,30-lis-2024,S03,Lighting,213.15,3,card
T000175,MP00038,12-wrz-2024,S11,Building Materials,154.67,2,card
T000176,MP00038,14-paź-2024,S11,Plumbing,358.33,7,card
T000177,MP00038,07-lis-2024,S11,Plumbing,150.9,1,card
T000178,MP00038,12-lis-2024,S11,Building Materials,200.26,6,online
T000179,MP00038,30-gru-2024,S11,Building Materials,208.32,1,mobile
T000180,MP00039,04-lut-2023,S02,Paint,45.51,1,cash
T000181,MP00039,24-lut-2023,S02,Paint,144.19,1,mobile
T000182,MP00039,16-lip-2023,S02,Paint,206.97,2,card
T000183,MP00039,19-sty-2024,S02,Paint,131.45,1,card
T000184,MP00039,05-wrz-2024,S02,Paint,220.75,1,card
T000185,MP00040,28-lis-2023,S12,Paint,104.93,1,online
T000186,MP00040,28-lis-2023,S12,Garden,62.55,1,cash
T000187,MP00040,29-lis-2023,S12,Paint,85.57,1,card
T000188,MP00040,29-lis-2023,S06,Paint,7.01,1,mobile
T000189,MP00040,29-lis-2023,S08,Paint,41.44,1,card
T000190,MP00041,06-sie-2022,S05,Tools,578.36,3,card
T000191,MP00041,28-kwi-2023,S12,Tools,802.15,15,mobile
T000192,MP00041,18-maj-2023,S11,Tools,76.37,1,card
T000193,MP00041,01-lis-2023,S04,Tools,324.74,4,cash
T000194,MP00041,16-gru-2024,S01,Lighting,274.46,5,card
T000195,MP00042,22-kwi-2024,S09,Electrical,706.51,17,cash
T000196,MP00042,18-maj-2024,S06,Electrical,550.56,5,cash
T000197,MP00042,22-maj-2024,S06,Garden,987.0,10,online
T000198,MP00042,04-lip-2024,S06,Electrical,589.36,10,mobile
T000199,MP00042,26-lip-2024,S06,Building Materials,373.71,2,mobile
T000200,MP00042,17-paź-2024,S06,Plumbing,561.43,4,cash
T000201,MP00042,27-paź-2024,S06,Paint,269.86,3,card
T000202,MP00042,16-lis-2024,S06,Electrical,117.18,2,card
T000203,MP00042,14-gru-2024,S06,Garden,440.79,3,mobile
T000204,MP00043,13-kwi-2024,S09,Electrical,334.54,3,online
T000205,MP00043,18-lis-2024,S04,Building Materials,142.74,1,mobile
T000206,MP00044,08-mar-2024,S02,Garden,388.94,4,card
T000207,MP00044,26-mar-2024,S02,Garden,126.47,2,mobile
T000208,MP00044,30-lip-2024,S10,Garden,85.1,1,card
T000209,MP00044,26-sie-2024,S02,Garden,168.16,2,card
T000210,MP00045,01-lip-2022,S01,Flooring,34.16,1,card
T000211,MP00045,27-lip-2023,S01,Flooring,58.0,1,card
T000212,MP00045,23-mar-2024,S01,Flooring,36.81,1,card
T000213,MP00045,10-maj-2024,S01,Flooring,11.03,1,card
T000214,MP00046,29-lis-2024,S07,Paint,292.86,2,card
T000215,MP00046,29-lis-2024,S07,Paint,419.33,7,card
T000216,MP00046,29-lis-2024,S07,Paint,118.95,1,mobile
T000217,MP00046,29-lis-2024,S07,Paint,73.07,1,cash
T000218,MP00046,30-lis-2024,S07,Paint,83.5,1,card
T000219,MP00047,07-wrz-2023,S02,Paint,306.41,4,mobile
T000220,MP00047,17-paź-2023,S02,Electrical,750.26,6,card
T000221,MP00047,19-gru-2023,S12,Plumbing,278.29,6,online
T000222,MP00047,27-lut-2024,S02,Paint,137.24,1,mobile
T000223,MP00047,12-maj-2024,S02,Plumbing,285.58,2,card
T000224,MP00047,28-gru-2024,S04,Plumbing,260.5,2,online
T000225,MP00048,08-wrz-2024,S03,Electrical,227.7,3,card
T000226,MP00048,15-wrz-2024,S06,Electrical,306.8,5,card
T000227,MP00048,18-wrz-2024,S06,Electrical,227.16,1,mobile
T000228,MP00048,10-sty-2025,S06,Electrical,44.18,1,cash
T000229,MP00049,27-sty-2024,S12,Tools,100.59,1,cash
T000230,MP00049,03-lut-2024,S09,Tools,72.66,1,online
T000231,MP00049,13-lut-2024,S12,Tools,53.83,1,card
T000232,MP00049,20-lut-2024,S12,Tools,150.79,1,card
T000233,MP00049,10-mar-2024,S12,Tools,59.35,1,card
T000234,MP00050,01-sie-2024,S03,Flooring,251.62,5,online
T000235,MP00050,02-wrz-2024,S03,Tools,271.39,4,card
T000236,MP00050,23-wrz-2024,S03,Building Materials,376.37,3,cash
T000237,MP00050,01-sty-2025,S03,Tools,262.27,2,online
T000238,MP00051,10-maj-2024,S01,Plumbing,124.27,1,online
T000239,MP00051,12-sie-2024,S01,Building Materials,19.77,1,card
T000240,MP00052,25-lip-2023,S01,Electrical,37.85,1,cash
T000241,MP00053,12-lut-2023,S01,Paint,24.32,1,mobile
T000242,MP00053,16-mar-2023,S01,Lighting,571.66,5,card
